# ----------------------------------------
# OpenSooq.ALL
# Search Terms
# 20140101-20140522
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
جينيسس,"1,133",2.19,8.38%,39.39%,00:05:47,4.22
كيا سورنتو,"1,132",4.33,17.23%,14.94%,00:06:49,5.80
مرسيدس E200,"1,132",6.65,24.91%,8.95%,00:09:51,6.32
تويوتا كامرى,"1,129",6.36,26.31%,8.45%,00:10:04,7.58
seat,"1,128",2.71,14.63%,29.29%,00:04:13,4.22
أزيرا,"1,128",5.42,17.73%,12.44%,00:09:28,6.49
بيت مستقل للبيع,"1,128",10.39,24.38%,4.97%,00:12:29,9.96
حديد,"1,127",3.76,15.26%,20.70%,00:05:25,4.24
ديكور,"1,125",4.23,14.76%,15.87%,00:08:15,7.07
شقه للبيع,"1,125",9.13,23.02%,5.62%,00:11:55,9.48
طاولة سفرة,"1,122",6.92,18.81%,6.88%,00:10:10,10.10
note3,"1,120",3.09,16.25%,20.82%,00:05:07,5.39
هاتف,"1,120",4.04,16.70%,17.47%,00:06:05,4.65
لانسر 96,"1,118",4.92,13.06%,15.41%,00:06:38,5.91
كيا ريو 2012,"1,116",3.63,14.96%,19.59%,00:05:35,5.41
ميتسوبيشي جالنت,"1,115",6.38,16.05%,10.98%,00:07:42,7.17
نوت3,"1,115",3.52,17.67%,17.69%,00:05:54,5.80
kia rio,"1,112",4.97,18.71%,12.60%,00:07:29,6.16
بكب ميتسوبيشي,"1,112",4.36,14.30%,18.28%,00:06:58,4.90
ياريس,"1,110",2.45,11.44%,29.34%,00:03:58,4.04
تويوتا كامري 2010,"1,109",4.63,17.22%,14.49%,00:08:11,6.25
تويوتا هايلكس,"1,109",3.48,14.34%,22.86%,00:05:18,4.17
iphone 5c,"1,106",2.76,19.26%,21.87%,00:04:29,3.84
لانسر 98,"1,106",4.13,14.10%,18.73%,00:05:32,5.29
تويوتا سيكويا,"1,105",5.53,18.91%,10.72%,00:11:00,8.80
فولستر,"1,105",2.40,10.32%,32.07%,00:04:42,4.39
ماحص,"1,105",5.06,20.00%,13.65%,00:08:13,7.59
fx35,"1,104",2.94,11.23%,22.88%,00:06:52,5.51
البصره,"1,103",7.98,35.81%,2.91%,00:09:55,8.01
باص بستا,"1,101",4.57,15.80%,18.36%,00:06:58,5.30
قطة,"1,101",5.10,16.89%,12.50%,00:08:01,8.00
ستروين c4,"1,100",4.03,16.36%,17.16%,00:05:42,5.53
بستا,"1,099",4.22,14.47%,18.69%,00:06:18,5.29
كادت,"1,099",3.96,12.56%,18.36%,00:07:25,6.20
سوزوكي ساموراي,"1,098",2.83,15.66%,24.15%,00:05:00,4.19
اكسنت 2013,"1,097",3.82,14.13%,18.67%,00:06:18,5.61
تركيا,"1,093",4.61,19.03%,9.85%,00:09:44,7.75
افانتي md,"1,092",5.82,18.04%,11.99%,00:07:39,5.04
كيا بنجو,"1,092",4.93,15.66%,15.59%,00:08:01,7.57
جدة,"1,091",7.84,33.09%,2.61%,00:09:53,10.36
ستارلت,"1,091",2.51,8.98%,31.31%,00:06:27,5.69
عمال,"1,091",4.72,28.69%,10.60%,00:07:24,6.94
رقم سيارة,"1,089",6.45,50.60%,4.68%,00:06:26,5.45
قطع سيارات,"1,089",4.57,17.17%,16.20%,00:07:09,5.73
التما,"1,088",3.51,12.50%,21.71%,00:05:28,4.85
مغري,"1,088",9.06,21.23%,7.30%,00:11:26,10.78
الجاردنز,"1,087",7.58,17.39%,8.25%,00:09:35,8.74
بريوس بانوراما,"1,087",5.27,21.25%,9.69%,00:08:29,7.02
دراجة هوائية,"1,087",3.39,18.58%,16.63%,00:06:39,6.10
land rover,"1,086",4.77,15.29%,14.64%,00:07:12,5.70
ارنب,"1,085",2.84,10.32%,27.90%,00:05:33,4.97
اكسنت 2007,"1,085",3.34,10.78%,23.73%,00:04:30,4.30
playstation,"1,083",3.18,19.58%,15.89%,00:05:40,5.30
قولف 6,"1,083",3.36,12.56%,21.60%,00:06:22,5.31
2005,"1,082",5.44,13.86%,13.31%,00:08:11,7.63
ram,"1,081",2.97,11.75%,26.79%,00:04:23,4.39
رباعي,"1,079",8.26,26.41%,7.02%,00:12:15,7.91
نيون,"1,079",3.24,11.96%,24.21%,00:05:40,4.79
اسلحة,"1,078",1.97,9.37%,39.31%,00:04:04,5.06
حاجب,"1,078",4.68,14.47%,13.95%,00:08:58,7.28
سوناتا 2006,"1,076",4.11,11.90%,16.06%,00:06:33,6.42
Ford,"1,075",6.15,22.05%,11.10%,00:06:17,4.56
بورش كيان,"1,075",3.60,14.98%,19.79%,00:05:14,4.41
سورية,"1,075",5.93,16.47%,11.80%,00:05:55,6.27
عين زاره,"1,075",10.07,27.26%,4.78%,00:16:14,10.51
هوندا سيفك هايبرد,"1,073",7.00,18.45%,8.89%,00:09:43,7.29
النجف,"1,070",8.53,53.27%,2.09%,00:13:02,7.83
زينات الربوع,"1,070",6.79,20.93%,7.94%,00:10:22,9.72
تويوتا كرسيدا,"1,069",4.28,12.82%,18.42%,00:07:18,6.00
كلاب للبيع,"1,067",4.64,18.28%,12.24%,00:06:46,6.93
i phone 5,"1,066",3.14,19.14%,18.79%,00:05:37,5.14
اكسنت اتوماتيك,"1,066",6.15,17.82%,11.81%,00:08:24,7.23
السبعة,"1,065",7.09,22.07%,7.87%,00:12:07,9.05
كيا بستا,"1,065",4.88,14.08%,15.08%,00:07:30,6.24
تيوتا بريوس,"1,064",5.09,21.15%,12.16%,00:07:47,5.96
لانسر 2008,"1,064",4.83,12.12%,14.84%,00:06:26,5.52
دايو ماتيز,"1,063",3.70,11.76%,19.81%,00:07:09,6.71
جبل طارق,"1,061",8.27,27.43%,5.08%,00:12:35,12.40
هونداي اكس دي,"1,061",6.74,19.70%,9.12%,00:09:38,7.93
bein,"1,059",3.12,19.45%,10.05%,00:05:54,6.00
fg,"1,059",2.91,11.80%,26.32%,00:05:28,5.07
جولف 93,"1,059",6.20,16.62%,10.40%,00:08:23,7.42
lcd,"1,058",4.16,17.20%,17.18%,00:05:43,5.02
حداد,"1,058",4.54,15.03%,13.90%,00:07:14,6.47
سزوكي,"1,056",2.57,9.85%,34.36%,00:04:43,4.50
غساله,"1,056",6.36,19.32%,8.63%,00:09:00,9.05
شقه للايجار,"1,055",8.19,23.98%,6.18%,00:09:42,9.00
بي واي دي,"1,054",5.47,19.07%,12.39%,00:06:28,6.13
جيب تويوتا,"1,052",4.65,11.88%,18.39%,00:05:39,4.64
كيا بريجو,"1,050",5.67,16.57%,12.71%,00:08:46,7.24
ابوسليم,"1,049",5.02,24.12%,11.65%,00:10:52,7.81
هوندا سيفيك هايبرد,"1,049",6.28,18.21%,9.01%,00:08:58,6.81
اكسبيريا,"1,047",3.16,17.48%,20.98%,00:06:27,4.54
بلايستيشن 3,"1,045",4.40,18.56%,13.49%,00:09:04,7.89
تروبر,"1,045",2.64,9.00%,31.07%,00:04:13,4.08
كوكتيل,"1,045",3.26,11.00%,18.79%,00:06:02,6.37
Ps3,"1,044",3.45,25.10%,8.41%,00:07:17,5.05
هونداي اكسنت اتوماتيك,"1,044",5.02,42.34%,9.12%,00:09:21,5.82
الاردن,"1,043",2.96,24.83%,12.25%,00:05:21,6.15
سيات قرطبه,"1,042",3.46,11.61%,22.16%,00:05:59,5.45
مازدا زوم 3,"1,042",5.57,15.83%,13.35%,00:07:21,6.83
اوميجا,"1,041",3.58,11.91%,21.49%,00:05:35,5.27
كيا فورتي 2010,"1,041",6.08,20.37%,9.07%,00:09:20,6.95
كيمياء,"1,041",3.89,28.15%,10.61%,00:05:56,5.60
تكسي للضمان,"1,040",3.58,24.90%,15.45%,00:05:58,6.23
كيا بنقو,"1,039",2.97,11.16%,29.81%,00:05:44,5.65
jaguar,"1,038",2.70,10.69%,27.51%,00:05:47,4.88
هاسكي,"1,038",4.08,18.59%,14.47%,00:05:17,6.21
مرسيدس 2010,"1,037",4.24,16.30%,17.32%,00:05:06,4.30
مدرسة,"1,036",5.09,18.05%,13.87%,00:07:28,6.44
للبيع او الاستبدال,"1,035",11.03,30.34%,3.08%,00:24:49,15.81
ماى فاى,"1,035",5.51,29.95%,6.35%,00:13:22,8.93
انترنت,"1,034",4.05,17.99%,15.65%,00:08:43,5.05
كندا,"1,032",4.01,16.38%,12.12%,00:08:23,6.48
جيب نيسان,"1,031",4.26,13.09%,19.56%,00:05:09,4.15
لانسر 93,"1,030",4.83,10.10%,15.40%,00:08:12,7.63
مندوب,"1,029",5.23,18.46%,10.25%,00:08:01,8.56
ام رمانه,"1,028",4.92,20.91%,14.13%,00:06:41,5.57
هونداي سنتافيه,"1,026",6.55,19.88%,9.31%,00:08:46,7.47
انجيلة,"1,025",6.70,28.59%,6.97%,00:10:26,8.05
سوناتا 2013,"1,025",3.66,15.51%,19.70%,00:05:54,4.87
قابينة,"1,025",5.88,17.66%,12.79%,00:12:06,6.91
نوكيا لوميا,"1,025",3.51,18.73%,17.61%,00:07:12,5.05
لانسر 94,"1,024",4.11,11.52%,18.36%,00:07:02,6.64
نيفا,"1,024",2.11,11.62%,34.14%,00:04:22,3.98
بك اب نيسان,"1,021",4.32,12.44%,20.25%,00:06:24,5.13
عدسة,"1,020",3.62,16.08%,19.11%,00:06:39,5.10
مكتبة,"1,020",4.62,19.71%,13.49%,00:07:23,6.37
هونداي md,"1,020",6.25,20.49%,9.89%,00:08:33,5.78
شريك سكن,"1,018",5.28,18.86%,6.73%,00:10:18,11.19
ليمنز,"1,017",3.76,12.00%,21.02%,00:06:05,5.66
2007,"1,016",5.81,12.80%,12.69%,00:09:15,8.12
سوناتا 2008,"1,015",4.76,12.51%,15.03%,00:07:15,6.37
جراند شيروكي,"1,013",4.98,17.67%,14.70%,00:07:27,5.17
انفنيتي,"1,012",2.14,8.99%,38.45%,00:04:32,4.78
تيوتا كارولا,"1,012",3.83,9.58%,22.04%,00:06:28,5.63
حمام للبيع,"1,012",3.41,27.27%,18.18%,00:05:59,4.65
اورين,"1,011",3.77,15.23%,19.26%,00:08:00,5.72
توسان 2009,"1,011",4.18,15.92%,14.87%,00:07:44,6.81
قرقارش,"1,011",5.28,20.28%,12.59%,00:08:31,6.38
بي ام 320,"1,010",3.54,12.57%,24.51%,00:04:45,4.28
داوو لانوس,"1,010",5.21,14.55%,12.54%,00:10:29,9.66
كادي,"1,010",3.32,12.57%,22.18%,00:06:03,5.70
نيسان بترول,"1,010",2.59,17.52%,25.98%,00:04:38,4.16
شفرليه,"1,008",3.98,12.80%,21.90%,00:04:17,4.09
لانسر 97,"1,008",4.74,11.81%,16.91%,00:06:41,5.65
حسون,"1,007",3.35,16.19%,21.43%,00:05:26,6.25
اعفاء جمركي,"1,006",6.09,23.46%,9.84%,00:07:25,6.44
دولاب,"1,006",5.34,23.76%,8.60%,00:10:52,9.02
راف فور,"1,006",2.68,15.21%,25.06%,00:05:11,4.73
السياحية,"1,005",5.96,21.19%,11.25%,00:09:03,7.40
تريلات,"1,005",3.83,16.12%,18.17%,00:07:20,6.21
تغذية,"1,005",2.76,25.87%,16.60%,00:04:07,5.21
bmw 735,"1,004",2.61,9.46%,34.61%,00:03:50,3.41
جده,"1,004",7.98,32.57%,3.25%,00:10:47,10.27
منظار,"1,004",3.20,13.55%,22.01%,00:07:05,6.36
سوبر ماركت للبيع,"1,003",6.63,20.94%,7.86%,00:08:45,9.47
8000,"1,002",7.78,18.16%,9.71%,00:08:32,7.45
سيدونا,"1,002",3.38,16.47%,18.05%,00:07:40,6.19
مرسيدس ml,"1,002",3.32,11.38%,22.21%,00:06:39,5.76
vectra,"1,001",5.47,54.65%,6.46%,00:15:28,4.64
ازيره,"1,000",3.62,15.60%,21.02%,00:06:16,5.06
باص مدرسة,"1,000",3.40,28.60%,16.13%,00:04:23,4.31
سبيكترا,"1,000",3.46,11.90%,19.98%,00:06:09,6.20
فرن غاز,"1,000",4.34,24.20%,11.91%,00:07:53,8.02
dell,998,4.80,19.64%,12.15%,00:08:57,6.98
ابو السوس,998,6.10,17.03%,10.76%,00:08:13,7.19
قولف باسات,998,3.49,11.92%,22.94%,00:07:14,6.15
مرسدس,998,4.42,16.13%,16.54%,00:06:30,6.18
kia forte,997,4.21,18.05%,14.36%,00:06:33,5.88
c230,995,3.11,12.06%,23.58%,00:06:23,5.02
ps2,995,3.49,14.47%,20.11%,00:06:15,5.91
عماره,995,9.47,25.33%,5.62%,00:12:05,10.01
خرفان,994,2.66,7.55%,26.54%,00:09:17,13.03
Gmc,993,4.53,19.54%,15.16%,00:05:26,4.28
صقر,993,2.83,14.00%,26.85%,00:05:05,5.33
مزين,993,4.94,23.87%,11.44%,00:10:59,8.36
مطلوب شريك,993,6.32,17.22%,9.82%,00:10:04,10.62
النترا 2011,992,3.58,11.19%,23.99%,00:04:16,3.99
جبل عمان,992,6.38,19.15%,10.11%,00:07:34,7.75
الهضبة,991,7.29,23.01%,7.43%,00:12:09,9.22
بريوس 2004,990,3.47,13.13%,20.68%,00:05:53,5.74
جهاز ركض,990,3.78,16.46%,14.66%,00:07:24,7.20
لانسر 95,990,4.63,11.62%,15.54%,00:07:59,6.98
تنك,989,3.08,9.50%,30.90%,00:03:42,2.72
شفروليه كروز,989,4.39,16.89%,15.34%,00:06:52,6.01
هونداي اكسنت 2012,988,4.69,16.70%,14.24%,00:08:20,6.45
خفاش,987,3.52,8.71%,21.94%,00:06:36,6.42
باص للبيع,985,9.87,22.84%,5.51%,00:14:45,11.72
مشاركة سكن,985,5.94,35.03%,3.28%,00:08:31,8.11
بندقيه,984,2.20,12.50%,37.97%,00:03:21,3.06
خردة,984,2.53,9.76%,44.86%,00:19:19,17.91
xperia z1,982,2.23,18.02%,25.11%,00:04:49,4.06
افانتي 2008,982,4.31,13.65%,15.90%,00:06:43,6.04
ميغان,982,3.02,10.29%,26.55%,00:04:51,4.31
mini cooper,981,2.42,12.84%,28.70%,00:04:31,4.37
r32,979,1.60,5.21%,55.51%,00:02:42,2.35
l200,978,3.21,16.36%,21.13%,00:05:40,4.93
جنط للبيع,978,5.41,16.16%,14.22%,00:04:35,4.32
شقة فارغة للايجار,978,13.08,35.69%,3.23%,00:11:56,12.29
للاستبدال,977,10.32,24.87%,5.24%,00:21:46,15.07
قلابة,976,7.09,26.54%,7.63%,00:14:35,9.34
كفتيريا,976,4.51,17.52%,13.22%,00:09:24,9.18
هاي لاندر,975,3.12,11.59%,24.30%,00:05:30,4.90
هونداى سوناتا,975,6.71,24.21%,8.44%,00:10:58,7.31
افكو,974,3.39,15.40%,24.35%,00:06:29,5.71
وطواط كشف,974,3.10,17.86%,22.55%,00:05:08,3.80
اوبل سكونا,973,3.97,12.64%,20.61%,00:05:01,5.54
محلات للبيع,973,10.86,24.67%,5.22%,00:12:32,9.75
معدله,973,8.25,21.27%,8.17%,00:08:54,7.53
e190,971,2.45,10.71%,31.41%,00:04:30,4.76
سياره اقساط,970,9.28,22.37%,6.58%,00:12:15,8.22
ريسيفر,969,4.11,17.65%,14.15%,00:07:31,6.64
هونداي تيبرون,968,4.72,13.33%,15.64%,00:07:53,7.38
playstation 4,967,2.40,19.03%,22.75%,00:04:27,3.62
دير غبار,967,7.27,23.16%,7.52%,00:08:28,7.62
تدريب,965,2.23,20.21%,26.86%,00:03:54,3.27
جولف 2002,963,4.31,15.99%,14.89%,00:07:14,6.35
شكودا فابيا,962,3.79,11.23%,18.22%,00:07:19,7.15
lenovo,961,3.27,19.35%,18.23%,00:06:02,4.11
سوزوكي سويفت,960,2.39,10.83%,31.75%,00:05:38,5.31
323,958,3.69,10.75%,20.15%,00:06:30,5.55
e320,958,3.72,14.09%,18.05%,00:08:10,6.73
نيسان دبل,957,3.12,11.60%,25.32%,00:06:36,4.72
bmw بوز نمر,956,7.43,18.20%,8.32%,00:09:59,8.32
عمارة للبيع,956,9.42,24.90%,5.21%,00:12:39,10.26
هواوي,956,3.02,16.11%,20.32%,00:06:13,6.14
300,954,3.45,10.69%,24.09%,00:05:30,5.17
بكم كيا,954,6.25,19.50%,12.20%,00:08:29,6.70
توسان 2011,954,3.23,12.26%,23.88%,00:05:17,4.73
نوبرا,954,4.09,13.73%,20.29%,00:06:39,5.48
10000,950,6.70,18.32%,10.66%,00:07:56,6.81
بدر,949,5.70,16.75%,13.62%,00:09:39,6.17
مقسطه,949,4.57,14.12%,17.21%,00:06:32,6.41
مهندس كهرباء,949,5.10,22.87%,5.71%,00:08:51,8.97
موستانج,949,2.03,9.06%,42.06%,00:02:29,2.52
موستينج,949,3.64,12.75%,20.98%,00:04:38,4.26
عضلات,943,5.07,14.32%,13.78%,00:08:46,7.48
نظارات,943,3.70,17.71%,14.87%,00:06:38,7.36
قرد,942,1.94,8.49%,37.99%,00:04:26,5.99
z,941,2.69,13.39%,24.14%,00:05:39,5.04
ميركوري,941,3.88,12.01%,18.17%,00:06:51,5.49
toyota sr,940,2.66,15.00%,25.09%,00:04:11,3.55
شقه مفروشه,940,8.38,26.70%,4.69%,00:10:56,9.62
بلياردو,939,3.53,18.53%,15.14%,00:09:38,6.28
كيا 2013,939,5.34,16.40%,15.16%,00:07:16,4.93
بي ام بوز,937,6.34,14.73%,10.41%,00:08:27,8.79
جولف 94,935,5.68,15.29%,12.05%,00:10:53,6.56
وادي السير,935,7.08,17.65%,9.38%,00:10:22,10.75
الحشان,933,6.08,22.29%,9.72%,00:09:13,6.11
فروج,933,4.26,9.86%,16.86%,00:08:35,8.33
هونداي جيتز,933,3.85,11.90%,18.72%,00:06:28,6.45
bmw 2011,932,2.55,15.77%,27.44%,00:04:49,3.29
bmw اقساط,932,5.65,12.88%,14.66%,00:06:45,5.76
charger,932,3.73,12.23%,20.44%,00:05:08,4.29
سني,931,3.07,13.75%,28.16%,00:03:48,3.65
انترا,930,3.83,14.09%,19.78%,00:07:23,5.57
النترا 2010,928,3.44,12.50%,21.81%,00:06:34,5.27
فشلوم,928,5.31,20.47%,11.49%,00:11:33,7.73
مالك,928,8.48,32.87%,4.83%,00:13:12,10.06
مستودعات,927,4.45,23.62%,12.03%,00:06:51,5.40
ford fusion,926,4.07,17.82%,15.01%,00:06:17,5.14
راف 4,926,2.56,10.80%,28.10%,00:05:36,5.18
دودج نيترو,925,3.47,12.43%,17.64%,00:08:06,6.72
روضة,924,5.36,22.84%,11.28%,00:08:20,8.09
قلف,924,8.11,17.64%,8.58%,00:11:32,8.41
Lexus,922,4.60,19.96%,13.20%,00:06:03,5.03
بلاي ستيشن 3,922,4.41,19.31%,12.85%,00:07:05,6.29
تكسي مكتب,922,4.78,20.82%,10.65%,00:07:32,7.96
صالون سيدات,922,7.85,28.20%,6.19%,00:10:43,10.04
باثفندر,921,3.56,13.03%,18.17%,00:05:11,4.81
بيجو307,921,2.73,11.29%,31.00%,00:04:55,4.58
سامسونغ,921,3.12,12.81%,26.18%,00:05:16,5.33
سرير اطفال,921,4.62,19.76%,10.25%,00:07:41,8.22
نزال,921,4.13,17.70%,17.46%,00:06:09,6.15
تويوتا كريسيدا,920,3.80,13.91%,19.22%,00:06:27,5.72
بريوس 2013,919,4.14,16.43%,14.56%,00:07:58,5.89
تويوتا اوريون,919,3.70,12.95%,19.88%,00:06:55,5.42
دايو نوبرا,919,4.63,14.47%,15.63%,00:07:13,6.88
زاوية الدهماني,918,7.34,21.13%,7.65%,00:10:30,9.75
لاسلكي,918,5.63,18.63%,10.46%,00:09:01,8.59
500,917,4.43,15.49%,17.46%,00:06:20,6.06
هيونداي اكسنت,917,7.30,19.08%,8.32%,00:10:13,8.51
540,916,2.65,9.06%,28.09%,00:05:15,4.70
bmw 745,916,2.42,6.11%,35.87%,00:05:27,3.82
البصرة,916,7.89,28.82%,3.83%,00:12:02,9.64
زيبرا,916,3.19,17.36%,18.71%,00:09:43,6.99
كرسي,915,4.32,18.69%,16.48%,00:05:39,5.18
ثلاجة عرض,914,6.45,21.55%,9.38%,00:09:04,7.45
2006,913,5.26,11.28%,14.01%,00:08:15,7.86
mitsubishi,913,5.95,15.77%,13.10%,00:05:58,5.55
متسبيشي,913,7.44,16.43%,10.97%,00:08:19,6.50
bmw دب,912,6.01,16.67%,11.12%,00:08:59,6.81
الذراع الغربي,912,4.95,15.68%,14.79%,00:06:44,6.53
سكراب,911,2.74,13.17%,29.57%,00:10:02,10.51
اكسنت 2010,910,3.84,11.21%,20.08%,00:05:51,5.11
راس افيكو,909,5.60,18.37%,12.69%,00:10:40,8.23
فورد ايدج,909,3.18,12.76%,21.62%,00:05:35,5.41
اكسنت 2005,908,4.02,12.44%,18.23%,00:07:55,6.98
غرف نوم اطفال,908,5.77,21.26%,8.24%,00:09:43,9.15
Kia,907,7.07,25.80%,9.17%,00:06:55,4.56
دايو ريسر,907,4.68,11.80%,14.48%,00:08:03,7.47
لحام,907,3.99,17.97%,15.64%,00:06:38,6.17
jeeb,906,2.10,11.37%,42.03%,00:03:27,3.79
بنت,906,2.65,10.38%,30.84%,00:03:20,3.46
بوفيه,906,4.48,16.45%,14.25%,00:07:52,8.88
كيا اوبتيما 2012,906,3.65,14.24%,20.21%,00:06:48,5.72
هيلوكس,906,3.08,12.14%,25.66%,00:04:59,4.37
بمب,905,1.72,7.73%,50.80%,00:02:30,3.21
كيا سيراتو 2009,905,3.57,14.36%,19.60%,00:06:32,5.36
بابل,904,5.77,24.78%,7.64%,00:07:21,7.67
حي دمشق,904,6.40,26.66%,8.56%,00:09:46,6.64
accent,903,5.65,17.83%,11.22%,00:07:07,6.10
دهان,903,4.21,14.06%,16.40%,00:07:06,7.26
bmw 528,901,3.68,13.21%,20.55%,00:07:25,5.19
سفرة,900,6.57,17.89%,8.50%,00:09:04,9.86
شاشة led,900,5.68,17.11%,11.31%,00:08:24,7.71
الهاشمي,899,5.80,16.57%,11.58%,00:07:25,7.32
معان,899,5.20,21.47%,11.16%,00:09:46,7.73
الرابية,898,6.67,18.71%,9.27%,00:07:56,7.46
راس جر,897,5.24,17.50%,13.08%,00:09:34,6.91
كيا نقل,897,3.48,14.49%,23.78%,00:06:25,5.75
bmw 520i,896,4.27,14.29%,17.50%,00:05:57,4.42
لانسر 2001,896,3.32,8.48%,26.45%,00:05:04,4.92
genesis,895,2.00,9.61%,37.57%,00:03:56,3.90
رينج,895,4.92,16.09%,14.04%,00:05:17,4.88
ضمان,894,6.49,21.70%,8.21%,00:08:40,8.29
تويوتا كورونا,893,4.20,14.00%,17.10%,00:06:18,5.59
متسوبيشي باجيرو,893,5.50,15.90%,12.77%,00:08:23,6.54
اكسنت اقساط,892,5.53,16.03%,13.34%,00:06:36,5.25
شوفرليت,892,5.05,13.68%,16.85%,00:06:02,4.75
320i,891,3.02,11.00%,25.19%,00:04:24,3.68
Gti,891,3.52,11.67%,21.43%,00:05:18,4.92
اكسنت 2006,891,3.41,10.89%,23.96%,00:05:13,4.67
اولدز,891,3.34,9.54%,25.45%,00:04:46,4.80
رقم,891,8.84,24.02%,6.07%,00:09:10,9.64
مفروش,891,7.40,23.01%,6.37%,00:10:18,10.49
مقسطة,891,5.13,27.38%,10.79%,00:07:52,6.81
دراي كلين,890,5.83,15.96%,10.41%,00:08:45,7.95
جولف 2000,888,4.81,13.51%,14.60%,00:06:28,5.97
شحن,888,3.45,16.22%,21.92%,00:06:07,4.29
ليكزس,888,3.07,12.27%,26.37%,00:04:38,4.31
k5,887,2.62,10.03%,25.31%,00:08:16,6.76
الكمالية,887,6.00,17.25%,10.71%,00:08:09,7.56
جالاكسي,887,3.78,19.84%,17.16%,00:06:14,4.83
القسطل,885,4.59,15.93%,14.60%,00:07:23,7.22
فيلوستر,885,2.06,10.17%,39.09%,00:04:12,3.76
معدلة,885,6.23,14.92%,11.69%,00:06:21,6.50
wii,884,3.68,19.46%,13.63%,00:06:16,6.00
فورد اكسبلور,883,3.70,14.84%,18.99%,00:05:58,5.35
اتصالات,882,4.03,20.63%,14.12%,00:06:34,5.58
c320,881,3.20,9.65%,22.61%,00:08:14,5.96
دايو اسبيرو,880,4.69,14.09%,14.44%,00:08:04,7.74
مرسيدس سي 200,879,4.63,17.63%,16.03%,00:06:57,5.35
هوندا سيفيك 2005,879,6.41,19.45%,10.11%,00:07:36,7.15
جيمس,878,3.71,12.87%,23.17%,00:04:27,3.73
سوني اكسبيريا,878,3.64,18.91%,17.13%,00:06:50,5.26
هونداي افانتي 2011,878,5.62,17.43%,10.52%,00:10:06,7.28
تسويق,877,5.53,21.44%,9.12%,00:09:26,9.55
PS3,873,5.32,20.39%,9.00%,00:09:26,7.60
مراقب,873,4.32,28.06%,11.59%,00:08:20,6.60
g class,872,2.05,11.12%,38.75%,00:03:36,2.90
جوالات,872,2.88,24.77%,13.32%,00:04:16,5.00
سيفيك هايبرد,871,4.86,20.78%,15.28%,00:09:04,6.27
قانون,871,2.99,22.50%,16.95%,00:05:24,5.89
شقق بالتقسيط,870,6.90,22.76%,6.78%,00:10:14,8.99
ايفكو,869,3.83,16.34%,20.51%,00:08:34,5.83
خلويات,869,3.87,16.80%,17.20%,00:06:31,6.27
اكستريل,868,2.26,18.78%,30.39%,00:07:00,4.05
التو,867,2.74,9.92%,30.35%,00:04:25,3.71
شركة,867,4.38,18.34%,13.85%,00:09:06,7.60
كروزر,867,4.32,14.30%,18.30%,00:06:41,4.59
مرسيدس 180,867,4.04,11.76%,19.77%,00:05:22,4.63
غسالات,866,5.55,22.98%,9.36%,00:08:24,7.11
bmw318,865,3.94,13.41%,19.30%,00:06:36,4.76
باب بن غشير,865,5.29,24.62%,10.95%,00:08:08,7.81
Iphone 5,864,4.18,28.82%,10.26%,00:05:35,5.30
huawei,863,2.43,12.40%,27.70%,00:05:57,4.53
z4,863,1.92,8.23%,41.50%,00:03:33,3.27
بيوت,863,8.19,24.91%,6.37%,00:09:35,9.04
مسدس تركي,863,1.45,8.57%,61.41%,00:02:49,3.40
HTC,862,4.36,21.23%,12.03%,00:07:39,6.64
ماروتي,862,2.77,9.74%,26.53%,00:04:43,5.23
كيميائي,861,2.83,23.00%,18.04%,00:07:39,5.27
ماتور,861,3.02,15.33%,29.19%,00:03:46,3.00
sportage,860,4.00,18.37%,17.61%,00:07:13,4.95
سكويا,860,2.77,17.56%,25.63%,00:05:19,4.48
كامري بقرة,860,5.69,15.81%,11.48%,00:10:35,8.73
207,859,4.12,14.32%,17.38%,00:06:14,6.24
الميرا,859,3.50,12.22%,18.37%,00:09:17,8.67
bmw 728,858,2.35,10.26%,38.37%,00:03:33,2.88
samsung s4,858,3.78,22.49%,16.44%,00:06:21,4.44
أفانتي,858,6.12,19.00%,10.66%,00:09:13,6.44
النترا 2005,858,4.15,11.31%,16.54%,00:08:09,7.77
قطع,856,4.49,17.06%,16.78%,00:05:53,4.92
توماتك,855,7.89,21.87%,7.71%,00:12:11,10.16
كاليبرا,855,2.06,6.43%,33.07%,00:05:29,5.51
316,854,3.22,10.19%,24.17%,00:05:09,5.07
hyundai,854,5.72,17.80%,13.75%,00:06:22,4.39
مرسيدس 2009,853,4.64,14.89%,15.31%,00:06:24,5.20
ford mustang,852,4.07,10.21%,17.38%,00:06:20,5.38
فورتي كوبيه,852,6.13,18.66%,9.27%,00:07:50,6.41
بلعاس,850,4.21,19.06%,10.95%,00:07:13,9.00
دوام مسائي,850,3.64,21.06%,14.84%,00:06:40,7.61
كابريو,850,2.95,13.18%,26.23%,00:05:40,6.02
سوناته,849,4.43,13.19%,17.56%,00:07:53,6.56
سونتا,849,3.47,12.84%,21.37%,00:06:52,6.15
كارينز,849,2.96,12.13%,25.54%,00:06:24,5.68
وانيت,849,5.66,26.38%,9.52%,00:04:34,5.02
Iphone 5s,848,3.97,31.25%,11.00%,00:05:55,5.35
Xperia,848,3.00,26.53%,21.04%,00:05:25,3.70
نحل,848,2.97,18.40%,18.51%,00:06:48,5.54
